date,number_of_strikes,center_point_geom
2018-01-03,88,POINT(-77.4 28.2)
2018-01-03,31,POINT(-78 28.4)
2018-01-03,47,POINT(-77 28.4)
2018-01-03,53,POINT(-75 28.4)
2018-01-03,29,POINT(-78.5 28.4)
2018-01-03,49,POINT(-78.4 28.4)
2018-01-03,50,POINT(-78.3 28.4)
2018-01-03,155,POINT(-78.2 28.4)
2018-01-03,213,POINT(-78.1 28.4)
2018-01-03,49,POINT(-77.6 28.4)
2018-01-03,72,POINT(-77.5 28.4)
2018-01-03,32,POINT(-77.4 28.4)
2018-01-03,34,POINT(-77.1 28.4)
2018-01-03,68,POINT(-76.9 28.4)
2018-01-03,38,POINT(-76.8 28.4)
2018-01-03,33,POINT(-76.7 28.4)
2018-01-03,25,POINT(-76.4 28.4)
2018-01-03,37,POINT(-75.1 28.4)
2018-01-03,39,POINT(-71.5 28.2)
2018-01-03,25,POINT(-71.3 28.2)
2018-01-03,26,POINT(-71.2 28.4)
2018-01-03,50,POINT(-75 28.5)
2018-01-03,25,POINT(-71 28.5)
2018-01-03,26,POINT(-78.1 28.5)
2018-01-03,41,POINT(-77.5 28.5)
2018-01-03,170,POINT(-77.4 28.5)
2018-01-03,38,POINT(-77.3 28.5)
2018-01-03,40,POINT(-76.7 28.5)
2018-01-03,49,POINT(-76.6 28.5)
2018-01-03,69,POINT(-74.9 28.5)
2018-01-03,26,POINT(-74.8 28.5)
2018-01-03,55,POINT(-77.4 28.6)
2018-01-03,86,POINT(-77.3 28.6)
2018-01-03,58,POINT(-77.2 28.6)
2018-01-03,29,POINT(-77.1 28.6)
2018-01-03,33,POINT(-76.6 28.6)
2018-01-03,41,POINT(-76.5 28.6)
2018-01-03,25,POINT(-74.8 28.6)
2018-01-03,31,POINT(-76.5 28.7)
2018-01-03,33,POINT(-76.4 28.7)
2018-01-03,26,POINT(-77.2 28.9)
2018-01-03,25,POINT(-80.3 28.7)
2018-01-03,32,POINT(-80.2 28.7)
2018-01-03,23,POINT(-77.3 28.7)
2018-01-03,34,POINT(-77.1 28.7)
2018-01-03,23,POINT(-78.4 29.1)
2018-01-03,57,POINT(-78.3 29.1)
2018-01-03,112,POINT(-78.2 29.1)
2018-01-03,35,POINT(-78.1 29.1)
2018-01-03,31,POINT(-77.9 29.1)
2018-01-03,44,POINT(-77.6 29.1)
2018-01-03,42,POINT(-77.5 29.1)
2018-01-03,48,POINT(-79 29.2)
2018-01-03,49,POINT(-78 29.2)
2018-01-03,37,POINT(-78 29.3)
2018-01-03,28,POINT(-78.1 29.3)
2018-01-03,26,POINT(-77.9 29.3)
2018-01-03,64,POINT(-77.8 29.3)
2018-01-03,66,POINT(-77.7 29.3)
2018-01-03,55,POINT(-77.6 29.3)
2018-01-03,32,POINT(-77.5 29.3)
2018-01-03,45,POINT(-77.4 29.3)
2018-01-03,48,POINT(-79 29.1)
2018-01-03,84,POINT(-79.1 29.1)
2018-01-03,32,POINT(-78.9 29.1)
2018-01-03,88,POINT(-78.3 29.7)
2018-01-03,104,POINT(-78.2 29.7)
2018-01-03,142,POINT(-77.7 29.4)
2018-01-03,82,POINT(-77.6 29.4)
2018-01-03,68,POINT(-77.5 29.4)
2018-01-03,51,POINT(-77.4 29.4)
2018-01-03,23,POINT(-77.3 29.4)
2018-01-03,43,POINT(-77.7 29.5)
2018-01-03,71,POINT(-79.1 29.2)
2018-01-03,51,POINT(-78.8 29.2)
2018-01-03,74,POINT(-78.2 29.2)
2018-01-03,110,POINT(-78.1 29.2)
2018-01-03,29,POINT(-77.9 29.2)
2018-01-03,45,POINT(-77.8 29.2)
2018-01-03,23,POINT(-77.6 29.2)
2018-01-03,45,POINT(-77.5 29.2)
2018-01-03,26,POINT(-77.4 29.2)
2018-01-03,42,POINT(-76.9 29.9)
2018-01-03,29,POINT(-76.8 29.9)
2018-01-03,50,POINT(-76.7 29.9)
2018-01-03,86,POINT(-77.6 29.5)
2018-01-03,70,POINT(-77.5 29.5)
2018-01-03,84,POINT(-77.4 29.5)
2018-01-03,64,POINT(-77.3 29.5)
2018-01-03,25,POINT(-77.2 29.5)
2018-01-03,53,POINT(-78.2 29.6)
2018-01-03,39,POINT(-77.7 29.6)
2018-01-03,48,POINT(-77.5 29.6)
2018-01-03,86,POINT(-77.4 29.6)
2018-01-03,64,POINT(-77.3 29.6)
2018-01-03,29,POINT(-77.2 29.6)
2018-01-03,71,POINT(-77.1 29.6)
2018-01-03,25,POINT(-77 29.7)
2018-01-03,29,POINT(-77.8 30.3)
2018-01-03,44,POINT(-77.3 29.7)
2018-01-03,52,POINT(-77.2 29.7)
2018-01-03,38,POINT(-77.1 29.7)
2018-01-03,45,POINT(-78.2 29.8)
2018-01-03,37,POINT(-77.1 29.8)
2018-01-03,40,POINT(-76.8 29.8)
2018-01-03,25,POINT(-77.7 30.5)
2018-01-03,23,POINT(-76.4 30.5)
2018-01-03,32,POINT(-76.2 30.5)
2018-01-03,38,POINT(-76.1 30.5)
2018-01-03,40,POINT(-76.7 30.1)
2018-01-03,29,POINT(-76.7 30.2)
2018-01-03,38,POINT(-76.6 30.2)
2018-01-03,32,POINT(-76.5 30.4)
2018-01-03,23,POINT(-76.4 30.6)
2018-01-03,26,POINT(-76.3 30.6)
2018-01-03,31,POINT(-76.2 30.6)
2018-01-03,28,POINT(-76.2 30.7)
2018-01-03,39,POINT(-76.2 30.8)
2018-01-04,23,POINT(-76.3 32.2)
2018-01-04,23,POINT(-75.5 33.7)
2018-01-07,31,POINT(-96.6 32.2)
2018-01-07,23,POINT(-96.4 32.2)
2018-01-07,75,POINT(-96.5 32.3)
2018-01-07,148,POINT(-96.4 32.3)
2018-01-07,59,POINT(-96.3 32.3)
2018-01-07,70,POINT(-96.3 32.4)
2018-01-07,81,POINT(-96.2 32.4)
2018-01-07,65,POINT(-96.1 32.4)
2018-01-08,100,POINT(-92.6 28.9)
2018-01-08,131,POINT(-92.5 28.9)
2018-01-08,72,POINT(-92.4 28.9)
2018-01-08,48,POINT(-92.1 28.9)
2018-01-08,81,POINT(-91.9 28.9)
2018-01-08,96,POINT(-91.8 28.9)
2018-01-08,41,POINT(-91.7 28.9)
2018-01-08,26,POINT(-91.6 28.9)
2018-01-08,94,POINT(-91.2 28.9)
2018-01-08,70,POINT(-91.1 28.9)
2018-01-08,86,POINT(-90.9 28.9)
2018-01-08,31,POINT(-90.8 28.9)
2018-01-08,23,POINT(-94 28.9)
2018-01-08,49,POINT(-95.2 29.1)
2018-01-08,369,POINT(-95.1 29.1)
2018-01-08,423,POINT(-94.9 29.1)
2018-01-08,328,POINT(-94.8 29.1)
2018-01-08,128,POINT(-94.7 29.1)
2018-01-08,64,POINT(-94.6 29.1)
2018-01-08,54,POINT(-94.5 29.1)
2018-01-08,42,POINT(-94.4 29.1)
2018-01-08,76,POINT(-94.3 29.1)
2018-01-08,65,POINT(-94.2 29.1)
2018-01-08,105,POINT(-94.1 29.1)
2018-01-08,175,POINT(-93.9 29.1)
2018-01-08,50,POINT(-93.8 29.1)
2018-01-08,64,POINT(-93.7 29.1)
2018-01-08,37,POINT(-93.4 29.1)
2018-01-08,42,POINT(-92 28.9)
2018-01-08,54,POINT(-91 28.9)
2018-01-08,39,POINT(-95.4 28.9)
2018-01-08,31,POINT(-95.3 28.9)
2018-01-08,36,POINT(-94.6 28.9)
2018-01-08,31,POINT(-93.9 28.9)
2018-01-08,26,POINT(-93.8 28.9)
2018-01-08,39,POINT(-92.9 28.9)
2018-01-08,61,POINT(-92.8 28.9)
2018-01-08,80,POINT(-92.7 28.9)
2018-01-08,28,POINT(-88.6 29.1)
2018-01-08,61,POINT(-87.1 29.1)
2018-01-08,66,POINT(-86.8 29.1)
2018-01-08,76,POINT(-96 29.2)
2018-01-08,142,POINT(-95 29.2)
2018-01-08,53,POINT(-94 29.2)
2018-01-08,34,POINT(-92 29.2)
2018-01-08,35,POINT(-91 29.2)
2018-01-08,49,POINT(-88.1 28.9)
2018-01-08,33,POINT(-87.7 28.9)
2018-01-08,26,POINT(-87.6 28.9)
2018-01-08,43,POINT(-87.3 28.9)
2018-01-08,39,POINT(-87.2 28.9)
2018-01-08,79,POINT(-86.4 28.9)
2018-01-08,589,POINT(-95 29.1)
2018-01-08,44,POINT(-94 29.1)
2018-01-08,25,POINT(-92 29.1)
2018-01-08,47,POINT(-91 29.1)
2018-01-08,43,POINT(-87 29.1)
2018-01-08,73,POINT(-91.9 29.2)
2018-01-08,55,POINT(-91.8 29.2)
2018-01-08,66,POINT(-91.7 29.2)
2018-01-08,68,POINT(-91.6 29.2)
2018-01-08,79,POINT(-91.5 29.2)
2018-01-08,57,POINT(-91.4 29.2)
2018-01-08,25,POINT(-91.3 29.2)
2018-01-08,79,POINT(-91.1 29.2)
2018-01-08,33,POINT(-90.8 29.2)
2018-01-08,79,POINT(-89.6 29.2)
2018-01-08,52,POINT(-89.5 29.2)
2018-01-08,28,POINT(-89.4 29.2)
2018-01-08,32,POINT(-88.6 29.2)
2018-01-08,58,POINT(-88.5 29.2)
2018-01-08,26,POINT(-92.3 29.1)
2018-01-08,44,POINT(-91.8 29.1)
2018-01-08,109,POINT(-91.7 29.1)
2018-01-08,107,POINT(-91.6 29.1)
2018-01-08,33,POINT(-91.5 29.1)
2018-01-08,119,POINT(-91.4 29.1)
2018-01-08,23,POINT(-91.3 29.1)
2018-01-08,25,POINT(-91.2 29.1)
2018-01-08,51,POINT(-91.1 29.1)
2018-01-08,74,POINT(-90.9 29.1)
2018-01-08,51,POINT(-90.7 29.1)
2018-01-08,48,POINT(-89.5 29.1)
2018-01-08,665,POINT(-94.2 29.3)
2018-01-08,317,POINT(-94.1 29.3)
2018-01-08,25,POINT(-93.9 29.3)
2018-01-08,32,POINT(-86.8 29.2)
2018-01-08,48,POINT(-86.7 29.2)
2018-01-08,118,POINT(-96 29.3)
2018-01-08,293,POINT(-95 29.3)
2018-01-08,136,POINT(-94 29.3)
2018-01-08,35,POINT(-96.1 29.3)
2018-01-08,68,POINT(-95.9 29.3)
2018-01-08,50,POINT(-95.8 29.3)
2018-01-08,140,POINT(-95.7 29.3)
2018-01-08,217,POINT(-95.6 29.3)
2018-01-08,23,POINT(-96.1 29.2)
2018-01-08,36,POINT(-95.9 29.2)
2018-01-08,90,POINT(-95.8 29.2)
2018-01-08,89,POINT(-95.7 29.2)
2018-01-08,58,POINT(-95.6 29.2)
2018-01-08,105,POINT(-95.5 29.2)
2018-01-08,175,POINT(-95.4 29.2)
2018-01-08,155,POINT(-95.3 29.2)
2018-01-08,41,POINT(-95.2 29.2)
2018-01-08,25,POINT(-95.1 29.2)
2018-01-08,328,POINT(-94.9 29.2)
2018-01-08,409,POINT(-94.8 29.2)
2018-01-08,297,POINT(-94.7 29.2)
2018-01-08,276,POINT(-94.6 29.2)
2018-01-08,195,POINT(-94.5 29.2)
2018-01-08,112,POINT(-94.4 29.2)
2018-01-08,106,POINT(-94.3 29.2)
2018-01-08,35,POINT(-94.2 29.2)
2018-01-08,73,POINT(-93.9 29.2)
2018-01-08,56,POINT(-93.8 29.2)
2018-01-08,147,POINT(-93.7 29.2)
2018-01-08,35,POINT(-93.6 29.2)
2018-01-08,96,POINT(-93.4 29.2)
2018-01-08,44,POINT(-93.3 29.2)
2018-01-08,35,POINT(-91.9 29.3)
2018-01-08,142,POINT(-91.8 29.3)
2018-01-08,86,POINT(-91.7 29.3)
2018-01-08,39,POINT(-91.6 29.3)
2018-01-08,110,POINT(-91.5 29.3)
2018-01-08,58,POINT(-91.4 29.3)
2018-01-08,41,POINT(-91.3 29.3)
2018-01-08,36,POINT(-89.6 29.3)
2018-01-08,65,POINT(-89.5 29.3)
2018-01-08,71,POINT(-89.4 29.3)
2018-01-08,51,POINT(-89.3 29.3)
2018-01-08,165,POINT(-95 29.4)
2018-01-08,510,POINT(-94 29.4)
2018-01-08,293,POINT(-95.5 29.3)
2018-01-08,198,POINT(-95.4 29.3)
2018-01-08,162,POINT(-95.3 29.3)
2018-01-08,304,POINT(-95.2 29.3)
2018-01-08,262,POINT(-95.1 29.3)
2018-01-08,378,POINT(-94.9 29.3)
2018-01-08,517,POINT(-94.8 29.3)
2018-01-08,316,POINT(-94.7 29.3)
2018-01-08,355,POINT(-94.6 29.3)
2018-01-08,456,POINT(-94.5 29.3)
2018-01-08,674,POINT(-94.4 29.3)
2018-01-08,447,POINT(-94.3 29.3)
2018-01-08,584,POINT(-94.2 29.4)
2018-01-08,592,POINT(-94.1 29.4)
2018-01-08,290,POINT(-93.9 29.4)
2018-01-08,175,POINT(-93.8 29.4)
2018-01-08,135,POINT(-93.7 29.4)
2018-01-08,65,POINT(-93.6 29.4)
2018-01-08,29,POINT(-93.5 29.4)
2018-01-08,23,POINT(-93.4 29.4)
2018-01-08,26,POINT(-93.3 29.4)
2018-01-08,69,POINT(-91.7 29.4)
2018-01-08,47,POINT(-91.6 29.4)
2018-01-08,47,POINT(-91.5 29.4)
2018-01-08,183,POINT(-91.4 29.4)
2018-01-08,71,POINT(-91.3 29.4)
2018-01-08,64,POINT(-91.2 29.4)
2018-01-08,46,POINT(-89.3 29.4)
2018-01-08,189,POINT(-95 29.5)
2018-01-08,171,POINT(-94 29.5)
2018-01-08,72,POINT(-92 29.5)
2018-01-08,44,POINT(-91 29.5)
2018-01-08,66,POINT(-93.7 29.3)
2018-01-08,56,POINT(-93.6 29.3)
2018-01-08,37,POINT(-93.5 29.3)
2018-01-08,49,POINT(-93.3 29.3)
2018-01-08,49,POINT(-93.2 29.3)
2018-01-08,225,POINT(-94.9 29.5)
2018-01-08,244,POINT(-94.8 29.5)
2018-01-08,321,POINT(-94.7 29.5)
2018-01-08,318,POINT(-94.6 29.5)
2018-01-08,277,POINT(-94.5 29.5)
2018-01-08,274,POINT(-94.4 29.5)
2018-01-08,238,POINT(-94.3 29.5)
2018-01-08,205,POINT(-94.2 29.5)
2018-01-08,248,POINT(-94.1 29.5)
2018-01-08,107,POINT(-93.9 29.5)
2018-01-08,101,POINT(-93.8 29.5)
2018-01-08,66,POINT(-93.7 29.5)
2018-01-08,62,POINT(-93.6 29.5)
2018-01-08,36,POINT(-93.5 29.5)
2018-01-08,90,POINT(-93.4 29.5)
2018-01-08,42,POINT(-93.3 29.5)
2018-01-08,34,POINT(-93.2 29.5)
2018-01-08,62,POINT(-91.4 29.5)
2018-01-08,250,POINT(-91.3 29.5)
2018-01-08,73,POINT(-91.2 29.5)
2018-01-08,25,POINT(-89.6 29.5)
2018-01-08,39,POINT(-89.3 29.5)
2018-01-08,46,POINT(-89.1 29.5)
2018-01-08,34,POINT(-95.5 29.4)
2018-01-08,44,POINT(-95.4 29.4)
2018-01-08,155,POINT(-95.3 29.4)
2018-01-08,224,POINT(-95.2 29.4)
2018-01-08,326,POINT(-95.1 29.4)
2018-01-08,223,POINT(-94.9 29.4)
2018-01-08,639,POINT(-94.8 29.4)
2018-01-08,532,POINT(-94.7 29.4)
2018-01-08,697,POINT(-94.6 29.4)
2018-01-08,774,POINT(-94.5 29.4)
2018-01-08,1167,POINT(-94.4 29.4)
2018-01-08,738,POINT(-94.3 29.4)
2018-01-08,32,POINT(-95.5 29.6)
2018-01-08,83,POINT(-95.4 29.6)
2018-01-08,321,POINT(-95.3 29.6)
2018-01-08,168,POINT(-95.2 29.6)
2018-01-08,186,POINT(-95.1 29.6)
2018-01-08,136,POINT(-94.9 29.6)
2018-01-08,124,POINT(-94.8 29.6)
2018-01-08,224,POINT(-94.7 29.6)
2018-01-08,195,POINT(-94.6 29.6)
2018-01-08,243,POINT(-94.5 29.6)
2018-01-08,208,POINT(-94.4 29.6)
2018-01-08,146,POINT(-94.3 29.6)
2018-01-08,76,POINT(-94.2 29.6)
2018-01-08,69,POINT(-94.1 29.6)
2018-01-08,92,POINT(-93.9 29.6)
2018-01-08,73,POINT(-93.8 29.6)
2018-01-08,49,POINT(-93.7 29.6)
2018-01-08,28,POINT(-93.5 29.6)
2018-01-08,40,POINT(-93.4 29.6)
2018-01-08,43,POINT(-93.3 29.6)
2018-01-08,73,POINT(-93.2 29.6)
2018-01-08,46,POINT(-91.9 29.6)
2018-01-08,45,POINT(-91.3 29.6)
2018-01-08,140,POINT(-91.2 29.6)
2018-01-08,130,POINT(-91.1 29.6)
2018-01-08,47,POINT(-95.4 29.5)
2018-01-08,70,POINT(-95.3 29.5)
2018-01-08,90,POINT(-95.2 29.5)
2018-01-08,159,POINT(-95.1 29.5)
2018-01-08,28,POINT(-94.1 29.8)
2018-01-08,34,POINT(-93.6 29.8)
2018-01-08,33,POINT(-93.4 29.8)
2018-01-08,32,POINT(-93.3 29.8)
2018-01-08,48,POINT(-95.5 29.7)
2018-01-08,25,POINT(-95.4 29.7)
2018-01-08,145,POINT(-95.3 29.7)
2018-01-08,133,POINT(-95.2 29.7)
2018-01-08,56,POINT(-95.1 29.7)
2018-01-08,84,POINT(-94.9 29.7)
2018-01-08,68,POINT(-94.8 29.7)
2018-01-08,58,POINT(-94.7 29.7)
2018-01-08,52,POINT(-94.6 29.7)
2018-01-08,65,POINT(-94.5 29.7)
2018-01-08,109,POINT(-94.4 29.7)
2018-01-08,69,POINT(-94.3 29.7)
2018-01-08,45,POINT(-94.2 29.7)
2018-01-08,52,POINT(-94.1 29.7)
2018-01-08,44,POINT(-93.8 29.7)
2018-01-08,57,POINT(-93.7 29.7)
2018-01-08,44,POINT(-93.6 29.7)
2018-01-08,38,POINT(-93.5 29.7)
2018-01-08,31,POINT(-93.4 29.7)
2018-01-08,23,POINT(-93.3 29.7)
2018-01-08,35,POINT(-93.2 29.7)
2018-01-08,37,POINT(-93.1 29.7)
2018-01-08,147,POINT(-95 29.7)
2018-01-08,36,POINT(-94 29.7)
2018-01-08,79,POINT(-91 29.7)
2018-01-08,48,POINT(-95.7 29.7)
2018-01-08,111,POINT(-95.6 29.7)
2018-01-08,181,POINT(-95 29.6)
2018-01-08,75,POINT(-94 29.6)
2018-01-08,23,POINT(-92 29.6)
2018-01-08,78,POINT(-91 29.6)
2018-01-08,31,POINT(-94.6 29.9)
2018-01-08,45,POINT(-94.5 29.9)
2018-01-08,49,POINT(-92.8 29.7)
2018-01-08,54,POINT(-92.7 29.7)
2018-01-08,95,POINT(-91.8 29.7)
2018-01-08,59,POINT(-91.1 29.7)
2018-01-08,52,POINT(-90.9 29.7)
2018-01-08,52,POINT(-95 29.8)
2018-01-08,25,POINT(-94 29.8)
2018-01-08,43,POINT(-91 29.8)
2018-01-08,81,POINT(-95.7 29.8)
2018-01-08,61,POINT(-95.6 29.8)
2018-01-08,134,POINT(-95.5 29.8)
2018-01-08,56,POINT(-95.4 29.8)
2018-01-08,67,POINT(-95.1 29.8)
2018-01-08,117,POINT(-94.9 29.8)
2018-01-08,104,POINT(-94.8 29.8)
2018-01-08,61,POINT(-94.7 29.8)
2018-01-08,89,POINT(-94.6 29.8)
2018-01-08,48,POINT(-94.5 29.8)
2018-01-08,33,POINT(-94.4 29.8)
2018-01-08,40,POINT(-94.9 30.1)
2018-01-08,46,POINT(-94.8 30.1)
2018-01-08,75,POINT(-94.7 30.1)
2018-01-08,68,POINT(-94.6 30.1)
2018-01-08,55,POINT(-94.5 30.1)
2018-01-08,42,POINT(-94.4 30.1)
2018-01-08,26,POINT(-92.8 29.8)
2018-01-08,33,POINT(-92.7 29.8)
2018-01-08,79,POINT(-92.6 29.8)
2018-01-08,37,POINT(-91.7 29.8)
2018-01-08,50,POINT(-90.9 29.8)
2018-01-08,40,POINT(-90.8 29.8)
2018-01-08,36,POINT(-90.7 29.8)
2018-01-08,49,POINT(-88.6 29.8)
2018-01-08,87,POINT(-96 29.9)
2018-01-08,26,POINT(-95 29.9)
2018-01-08,37,POINT(-96.4 29.9)
2018-01-08,68,POINT(-96.3 29.9)
2018-01-08,33,POINT(-96.2 29.9)
2018-01-08,33,POINT(-95.9 29.9)
2018-01-08,41,POINT(-94.9 29.9)
2018-01-08,32,POINT(-94.8 29.9)
2018-01-08,256,POINT(-95.4 30.2)
2018-01-08,139,POINT(-95.3 30.2)
2018-01-08,91,POINT(-95.2 30.2)
2018-01-08,125,POINT(-95.1 30.2)
2018-01-08,48,POINT(-94.9 30.2)
2018-01-08,55,POINT(-94.8 30.2)
2018-01-08,70,POINT(-94.7 30.2)
2018-01-08,47,POINT(-94.6 30.2)
2018-01-08,74,POINT(-94.5 30.2)
2018-01-08,92,POINT(-94.4 30.2)
2018-01-08,72,POINT(-92.5 29.9)
2018-01-08,38,POINT(-92.4 29.9)
2018-01-08,28,POINT(-90.8 29.9)
2018-01-08,89,POINT(-90.7 29.9)
2018-01-08,38,POINT(-96 30.1)
2018-01-08,76,POINT(-95 30.1)
2018-01-08,67,POINT(-96.5 30.1)
2018-01-08,70,POINT(-96.4 30.1)
2018-01-08,203,POINT(-96.3 30.1)
2018-01-08,231,POINT(-96.2 30.1)
2018-01-08,76,POINT(-96.1 30.1)
2018-01-08,69,POINT(-95.9 30.1)
2018-01-08,40,POINT(-95.8 30.1)
2018-01-08,88,POINT(-95.7 30.1)
2018-01-08,330,POINT(-95.6 30.1)
2018-01-08,476,POINT(-95.5 30.1)
2018-01-08,237,POINT(-95.4 30.1)
2018-01-08,122,POINT(-95.3 30.1)
2018-01-08,134,POINT(-95.2 30.1)
2018-01-08,93,POINT(-95.1 30.1)
2018-01-08,48,POINT(-94.3 30.2)
2018-01-08,80,POINT(-92.1 30.1)
2018-01-08,90,POINT(-90.5 30.1)
2018-01-08,33,POINT(-96 30.2)
2018-01-08,37,POINT(-95 30.2)
2018-01-08,51,POINT(-92 30.2)
2018-01-08,51,POINT(-96.5 30.2)
2018-01-08,53,POINT(-96.4 30.2)
2018-01-08,43,POINT(-96.3 30.2)
2018-01-08,89,POINT(-95.9 30.2)
2018-01-08,85,POINT(-95.8 30.2)
